what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1355162389603
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1355162389733
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1355162389748
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1355162389785
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1355162389838
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1355162389853
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1355162389908
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1355162389929
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1355162389986
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1355162390004
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1355162390004
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1355162390052
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1355162390077
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1355162390094
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1355162390118
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1355162390161
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1355162390194
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1355162390264
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1355162390277
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.3.201010141144,"org.eclipse.cdt.cross.arm.gnu",1355162390305
os,sysinfo,,,"win32",1355162390308
arch,sysinfo,,,"x86",1355162390308
ws,sysinfo,,,"win32",1355162390308
locale,sysinfo,,,"pt_BR",1355162390308
processors,sysinfo,,,"2",1355162390308
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355162390308
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1355162390308
java.specification.name,sysinfo,,,"Java Platform API Specification",1355162390308
java.specification.vendor,sysinfo,,,"Oracle Corporation",1355162390308
java.specification.version,sysinfo,,,"1.7",1355162390308
java.vendor,sysinfo,,,"Oracle Corporation",1355162390308
java.version,sysinfo,,,"1.7.0_07",1355162390308
java.vm.info,sysinfo,,,"mixed mode",1355162390308
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1355162390308
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355162390308
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1355162390308
java.vm.specification.version,sysinfo,,,"1.7",1355162390308
java.vm.vendor,sysinfo,,,"Oracle Corporation",1355162390308
java.vm.version,sysinfo,,,"23.3-b01",1355162390308
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1355162390889
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1355162391169
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355162391182
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1355162391717
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355162391760
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1355162392238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355162393881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355162398408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355162399168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355162960515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355162961519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355163017528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355163018544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355167903608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355167903842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355174381179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355174381774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1355174382746
